Pink,Pink,#f96,218,112,214,"(218,112,214)",
Pink,Pink,#fbceb1,255,20,147,"(255,20,147)",
Pink,Pink,#fdee00,255,218,185,"(255,218,185)",
Purple,Purple,#21abcd,153,50,204,"(153,50,204)",
Purple,Purple,#7c0a02,75,0,130,"(75,0,130)",
Purple,Purple,#848482,230,230,250,"(230,230,250)",
Purple,Purple,#98777b,186,85,211,"(186,85,211)",
Purple,Purple,#9c2542,106,90,205,"(106,90,205)",
Purple,Purple,#9f8170,123,104,238,"(123,104,238)",
Purple,Purple,#a1caf1,138,43,226,"(138,43,226)",
Purple,Purple,#bcd4e6,147,112,219,"(147,112,219)",
Purple,Purple,#f4c2c2,139,0,139,"(139,0,139)",
Purple,Purple,#f5f5dc,128,0,128,"(128,0,128)",
Purple,Purple,#fae7b5,72,61,139,"(72,61,139)",
Purple,Purple,#ffe135,148,0,211,"(148,0,211)",
Purple,Purple,#ffe4c4,216,191,216,"(216,191,216)",
Red,Red,#000,233,150,122,"(233,150,122)",
Red,Red,#253529,205,92,92,"(205,92,92)",
Red,Red,#3b3c36,255,0,0,"(255,0,0)",
Red,Red,#3d0c02,178,34,34,"(178,34,34)",
Red,Red,#3d2b1f,165,42,42,"(165,42,42)",
Red,Red,#bf4f51,139,0,0,"(139,0,0)",
Red,Red,#fe6f5e,220,20,60,"(220,20,60)",
White,White,#00308f,240,255,255,"(240,255,255)",
White,White,#5d8aa8,250,235,215,"(250,235,215)",
White,White,#72a0c1,255,250,240,"(255,250,240)",
White,White,#96c,255,250,250,"(255,250,250)",
White,White,#a32638,220,220,220,"(220,220,220)",
White,White,#a4c639,255,255,255,"(255,255,255)",
White,White,#c46210,255,255,240,"(255,255,240)",
White,White,#e32636,240,255,240,"(240,255,240)",
White,White,#e52b50,250,240,230,"(250,240,230)",
White,White,#efdecd,255,240,245,"(255,240,245)",
White,White,#f0f8ff,248,248,255,"(248,248,255)",
White,White,#f2f3f4,245,245,245,"(245,245,245)",
White,White,#ff033e,255,245,238,"(255,245,238)",
White,White,#ff7e00,253,245,230,"(253,245,230)",
White,White,#ffbf00,245,255,250,"(245,255,250)",
Yellow,Yellow,#008000,250,250,210,"(250,250,210)",
Yellow,Yellow,#0ff,255,255,0,"(255,255,0)",
Yellow,Yellow,#841b2d,240,230,140,"(240,230,140)",
Yellow,Yellow,#8db600,255,255,224,"(255,255,224)",
Yellow,Yellow,#915c83,218,165,32,"(218,165,32)",
Yellow,Yellow,#cd9575,255,215,0,"(255,215,0)",
Yellow,Yellow,#faebd7,255,250,205,"(255,250,205)",
Yellow,Yellow,#fbceb1,238,232,170,"(238,232,170)",
